No.0:國家圖書館古籍服務實務研究, ['古籍', '國家圖書館', '國內', '部門', '服務', '實務', '圖書館', '讀者服務', '狀況', '內心', '勾勒出', '古籍管理', '古籍資源', '挖掘', '深入性', '渴望', '珍稀', '眼前', '推廣', '整理']
No.24:數位版權管理系統隱私權保護應用於行動裝置之研究, ['drm', '數位', '生物特徵', '行動裝置', '協議', '系統', '橢圓曲線密碼學', '保護', '機制', '內容', '提出', '安全', '數位版權管理系統', '讀取控制', '匿名', '學者', '效率', '應用', '改良', '運算']
No.25:大學生對於個資保護議題之資訊需求與尋求研究, ['個資', '大學生', '個人資料', '保護', '議題', '個人資料保護法', '機構', '資訊需求', '蒐集', '相關', '重視', '認知', '政府', '尋求', '信任', '個人資料隱私保護', '外洩', '易懂性', '是非', '架框']
No.26:明代佛教典籍出版研究, ['出版', '佛教', '明代', '刻印', '徵集', '書籍', '中國', '印刷術', '佛書', '典籍', '佛經', '雕版', '佛書出版', '寺院', '私人', '傳佈', '歷史', '古代', '流通', '探索']
No.27:以商業模式之「價值定位」角度探討國家圖書館的行銷, ['行銷', '價值定位', '國家圖書館', '企業', '機構', '沒有', '宣傳', '商業', '圖書館行銷', '角度', '這些', '符合', '妥當', '掛名', '熟識度', '目光', '知曉', '空有', '親近', '辛苦']
No.28:家長對兒童閱讀繪本之態度分析, ['家長', '兒童', '電子繪本', '閱讀', '兒童閱讀', '繪本', '公共圖書館', '反應', '觀點', '帶領', '家庭', '引導', '總館', '多元', '不同', '作法', '培養', '機會', '看法', '習慣']
No.29:應用二次剩餘於無線射頻辨識所有權轉移與授權機制之研究, ['所有權轉移', '機制', '授權', '群體', '安全性', 'rfid', '群體所有權授權', '標籤', '我們', '計算', '無線射頻辨識', '讀取', '時效性', '廣泛', '提出', '認證', '同態加密', '所有權', '轉移', '效率']
No.30:大學圖書館館內飲食策略初探--以輔仁大學圖書館為例, ['大學圖書館', '圖書館餐飲服務', '飲食政策', '飲食策略', '飲食', '贊成', '取樣', '館員', '學習共享空間', '輔仁', '讀者', '交際', '兼採', '學風', '待館', '文獻法', '植基於', '與時俱進', '盡力', '匯集']
No.31:英語數位資源的學習動機與滿意度之研究： 以輔仁大學大學部為例, ['英語', '數位學習', '學習動機', '英語學習', 'abc', 'live', '滿意度', '學習', '資源', '空中', '雜誌', '情況', '大學部', '使用', '數位', '電子', '動機', '背景', '輔仁大學', '6成']
No.32:明代北京私人藏書研究, ['北京', '藏書', '明代', '事業', '藏書家', '文化', '私人藏書', '圖書', '士人', '經濟', '書籍', '生活', '私家', '興盛', '區域', '收藏', '政治', '當時', '發達', '試圖']
No.33:由社會性問答網站探求個人投資理財資訊需求, ['投資', '理財', '類別', '構面', '提問', '房地產', '社會性問答網站', '情感', '問題', '面臨', '事實型', '保險', '投資理財資訊', '行動', '資訊需求', '知識', '資訊', '儲蓄', '問題特徵', '問題類型']
No.34:大學學生採用電子書之影響因素 ─ 以輔仁大學學生為例, ['構面', '電子書', '任務', '學生', '行為', '期望', '因素', 'expectancy', 'task', '促成', '整合型科技接受模式', '科技適配理論', '適配度', '採用', '易用', '意圖', '個別', '科技', '績效', '社群']
No.35:國家圖書館文創商品營運模式研究, ['非營利組織', '文創商品', '商業', '圖書館', '經費', '創收', '營利', '行銷', '模式', '博物館', '創意', '涉及', '文化', '圖書館經營', '進行', '國內', '活動', '過去', '同時', '企圖']
No.36:應用混成式學習於課後輔導之研究, ['混成式學習', '學習', '課後輔導', '學習滿意度', '表現', '自主', '樣本', '學生', '態度', '參與', '電腦', '穩定', '國籍', '小時', '成績', '檢定', '翻轉學習', '分數', '父母', '應用']
No.37:碩士生電子期刊閱讀行為之研究 －以天主教輔仁大學為例, ['電子期刊', '閱讀', '碩士生', '查找', '閱讀行為', '期刊', '筆記', '修業', '碩士', '英文', '載體', '進度', '時期', '論文', '資源', '人脈', '時數', '課程', '紙本', '手機']
No.38:輔仁大學圖書館行動版網頁建置研究, ['行動版網頁', '行動', '行動化', '反應', '建置', '載具', '任務', '全面性', '層面', '使用者', '易用性分析', '服務', '圖書館', '使用', '完成', '學習', '趨勢', '提供', '圖書館行動化服務', '掌控']
No.39:網路分類資源自動化擴展系統之研究, ['擴展', '連結', '自動', '網站', '資源', '參考性', '網頁', '使用者', '機制', '搜尋到', '數位落差', '協助', '相關', '現有', '搜尋引擎', '其他', '分類', '資訊檢索', '幫助', '期望']
No.40:公共圖書館故事志工知能及教育訓練之研究 -以臺北市立圖書館林老師說故事團隊為例, ['故事', '志工', '說故事', '教育訓練', '技能', '知能', '公共圖書館', '團隊', '活動', '兒童閱讀', '老師', '提升', '臺北市立圖書館', '成效', '涵蓋', '人力', '態度', '公共關係', '有賴', '讀者群']
No.41:軟體工程領域國際科學合作趨勢之研究, ['國際合著', '軟體工程', '期刊', '論文', '國家', '出版', '趨勢', '作者', '人數', '位數', 'university', '合著', '合作', 'of', '機構', '成長', '呈現', '科學合作', 'technology', '緊密']
No.42:台灣美食部落格使用性介面評估, ['美食部落格', '使用性', '嚴重', '項目', 'alexa', '使用性評估', '排名', '樣本', '公司', '介面', '一致性', '類群', '評估', '代表性', '部落格', '個別', '問題', '個人', '文章', '表現']
No.43:雲端儲存服務之資訊安全研究, ['雲端儲存', '安全', '加密', '隱私', '關鍵字搜尋', '傳輸', '方案', '雲端運算', '使用者', '雙線性映射函數', '應用', '偽造', '相應', '儲存', '屬性', '維護', '我們', '環境', '方法', '資訊']
No.44:農民之資訊需求與資訊尋求行為研究, ['農民', '資訊', '管道', '農業', '資訊需求', '市場', '資訊尋求行為', '不易', '工作', '人際', '包含', '中部', '作物', '加工', '商家', '拍賣', '生產', '生長', '盤商', '老舊']
No.45:基於翻轉學習概念之互動式教學平台架構研究, ['學習', '翻轉學習', '學生', '平台', '教學', '模組', '架構', '互動式', '教師', '概念', '低落', '可汗', '學習共同體', '根本', '教育改革', '這樣', '家長', '課堂', '調整', '教育']
No.46:行動圖書館對於偏遠地區兒童閱讀影響之研究：以一粒麥子基金會為例, ['行動圖書館', '偏遠地區', '巡迴', '兒童閱讀', '偏鄉', '閱讀', '圖書', '麥子', '服務', '看到', '教室', '不同於', '各界', '學校', '增加', '推廣活動', '社群', '影響', '書籍', '開始']
No.47:臺北市立圖書館太陽圖書館之用後評估研究, ['太陽', '讀者', '滿意度', '評估', '停留', '太陽圖館', '族群', '專科', '超過', '最多', '圖書館', '男性', '項目', '大部分', '程度', '教育', '頻率', '使用者', '使用', '以下']
No.48:數位學伴課業輔導帶班教師經驗分析, ['偏鄉', '帶班', '教師', '學伴', '課輔', '輔導', '數位', '線上', '學童', '學校', '參與', '課業', '計畫', '政府', '反應', '啟動', '執行帶班', '大學伴', '學習監控', '學習端']
No.49:從學位論文探討臺灣學研究現況與發展趨勢, ['臺灣學', '學位論文', '引用文獻', '臺灣', '引用', '產出量', '文學', '書目計量', '最多', '分布', '集中', '碩士論文', '為主', '概況', '主題', '系所', '數量', '學科', '趨勢', '台灣']
No.50:使用者對圖書館Facebook之訊息需求與互動需求分析：以輔仁大學圖書館為例, ['facebook', '訊息', '互動', '圖書館', '需求', '社群網路', '輔仁', '使用者', 'web2', '發布', '工具', '功能', '圖書館使用', '內容分析', '大學圖書館', '歸納', '呈現', '顯著', '國內外', 'plurk']
No.51:建構共享共讀的圖書書庫自動化流通平台：以「愛的書庫」為例, ['閱讀', '共讀', '愛的書庫', '流通', '平台', '書庫', '學童', '知識', '圖書', '作業', '班級', '共享', '養成', '教師', '能力', '自動化', '建構', '系統', '相同', '培養']
No.52:數位學伴線上課業輔導服務之教學分析, ['教學', '大學', '輔導', '偏遠地區', '弱勢', '課業', '學習', '學伴', '課輔', '數位', '線上', '資訊科技', '計畫', '伴取得', '伴為', '均等', '教學規劃', '數位化教學', '科技', '提升']
No.53:從學位論文探討電子書學術研究現況與發展趨勢, ['電子書', '學位論文', '出版', '引用文獻', '趨勢', '引用', '國外', '展示', '期刊', '蒐集到', '最多', '系統', '主題', '領域', '方面', '現況', '核心', '為主', '使用', '發展']
No.54:大學圖書館館員資訊需求與資訊尋求行為之探討, ['大學圖書館館員', '資訊尋求行為', '資訊需求', '職務', '館員', '外語', '學科', '不同', '包括', '權威性', '差異', '課程', '因素', '管道', '圖書資訊學', '有所', '考量', '些微', '危機', '完成性']
No.55:應用擴充式混沌映射於使用者認證和金鑰協議機制之研究, ['機制', '金鑰協議', '安全', '安全性', '認證', '攻擊', '交換', '混沌映射', '計算機', '使用者', '訊息', '我們', '三方認證', '擴充式', '漏洞', '智慧卡', '密碼', '金鑰', '溝通', '公開']
No.56:車載通訊批次驗證及會議金鑰協議機制之研究, ['車輛', 'vanet', 'vehicular', '安全性', 'v2r', 'v2v', '回報', '批次', '通訊', 'ad', 'hoc', 'rsu', 'to', '資訊認證', '車載網路', '雙線性', '網路', '效率', '交通', '我們']
No.57:我國公共圖書館讀者焦慮相關因素探討, ['讀者焦慮', '公共圖書館', '障礙', '讀者', '顯著', '區域', '圖書館', '層級', '差異', '圖書館使用', '我國', '不同', '變項', '職業', '屬性', '問卷', '設備', '達到', '情感', '共有']
No.58:《中文圖書分類法》與《中國圖書館分類法》之比較研究：以文學類為例, ['中文圖書分類法', '文學類', '中國圖書館分類法', '對應', '分類號', '圖書', '層級', '分類', '異同', '通用性', '圖書分類法', '組合', '配置', '實作', '類目', '國家圖書館', '輔仁', '館藏', '部份', '中國']
No.59:應用於網路電視廣播系統的認證機制及金鑰交換機制之研究, ['網路電視', '認證', '機制', '安全', '智慧卡', '電視', '我們', '無線射頻', '用戶', '金鑰', '加密', '身份', '交換', '安全性', '效率', '服務', '傳統', '結合', 'protocol', 'television']
No.60:從多元學習觀點探討輔仁大學大學生學涯規劃之資訊行為, ['學涯規劃', '多元學習', '階段', '大學生', '輔仁大學', '生涯', '職涯', '導向', '資訊', '網站', '資訊行為', '資源', '學校', '修讀', '生涯發展', '學習', '來源', '學程', '輔系', '雙主修']
No.61:公共圖書館使用非典型勞動力的影響與策略之研究, ['非典型勞動力', '公共圖書館', '進用', '造成', '勞動', '運用', '搶標', '維繫', '影響', '規範', '人力', '產生', '工作', '人事', '正式', '避免', '政治', '組織', '使用', '低價']
No.62:大學圖書館學習共享空間的使用情形評估研究：以輔仁大學為例, ['學習共享空間', '大學圖書館', '使用者', '使用', '資訊科技', '認為', '空間', '輔仁大學', '5成', '9成', 'commons', '寬敞', '座位', '歐美', '系館', '隱密性', '增加', 'learning', '資訊量', '走向']
No.63:大學校園數位行動導覽系統建置之研究 －以輔仁大學為例, ['校園', '行動導覽', '擴增實境', '導覽', '大一', '新生', '行動學習', '資訊視覺化', '系統', '情境學習', '校園導覽', '大學', '有助於', '生活', '個人化', '建置', '評鑑', '認識', '數位', '幫助']
No.64:公共圖書館推動嬰幼兒閱讀服務之研究, ['幼兒', '閱讀', '推動', '閱讀起步走', '計畫', '服務', '教育部', '公共圖書館', '補助', '父母', '兒童', '圖書館', '02', 'bookstart', '分送', '專案', '早期素養', '禮袋', '響應', '影響']
No.65:大學生對於著作權概念之認知與資訊需求分析, ['著作權', '大學生', '相關', '概念', '認知', '資訊需求', '產生', '他人', '問卷', '經驗', '資訊', '尋求', '不足', '理解性', '資訊尋求行為', '困難', '合理使用', '著作權法', '可用性', '知識']
No.66:台灣公共圖書館採購中文電子書之探討, ['中文電子書', '採購', '廠商', '公共圖書館', '電子書', '對價', '產業', '圖書館', '作業', '交易量', '依循', '定價', '會計科目', '永久', '爭議', '維護費', '負責人', '電子書採購', '契約', '對策']
No.67:圖書館流通工讀生使用線上學習之評估—以輔仁大學圖書館為例, ['流通工讀生', 'moodle', '線上學習', '影響力', '大部份', '輔仁', '教育訓練', '工作', '圖書館', '工讀生', '線上訓練', '大學圖書館', '程度', '使用評估', '圖書館', '女生', '小時', '深刻', '男生', '進修部']
No.68:大學生網路使用與休閒閱讀行為關係之研究, ['網路使用', '大學生', '休閒閱讀行為', '閱讀', '休閒', '程度', '時數', '顯著', '上網', '地點', '時段', '關係', '行為', '讀物', '部分', '不同', '媒介', '原因', '上會', '教學']
No.69:我國大學圖書館參考館員工作焦慮之研究, ['參考館員', '工作焦慮', '大學圖書館', '我國', '館員', '方式', '家庭', '職務', '工作', '因應', '層面', '保持', '主管', '良好', '溝通', '主要', '交流為', '調動', '論調', '身體']
No.70:IFLA推動國際書目控制發展之探討, ['國際書目控制', 'ifla', '書目', '推動', '書目控制', '規範', '國際', '國際圖書館協會聯盟', '國家', '聯盟', '建置', '貢獻', '編目', '加強', '標準', '出版', '組織', 'and', 'associations', 'federation']
No.71:國小教師使用文建會「兒童文化館」閱讀教學分析, ['文化館', '文建會', '電子繪本', '閱讀', '教學', '兒童', '教師', '國小教師', '創思', '繪本', '使用', '活動', '設計', '經驗', '媒介', '理念', '優付費', '印刷', '故事書', '文建會兒童文化館']
No.72:新住民使用公共圖書館之動機與行為研究, ['新住民', '動機', '公共圖書館', '使用', '圖書館', '空閒', '親子', '仰賴', '喜好', '查找', '包括', '服務', '個人', '活動', '工作', '資訊需求', '學習', '資訊', '行為', '提供']
No.73:輔仁大學教師使用圖書館期刊行為之研究, ['期刊', '教師', '電子期刊', '有關', '使用', '資訊行為', '紙本', '輔仁大學', '教學', '圖書館', '行為', '主要', '停訂', '未來', '資料庫', '領域', '來源', '訂購', '館藏', '為主']
No.74:我國圖書館員社會形象之研究, ['圖書館員', '社會形象', '形象', '民眾', '專業', '強化', '條理', '親切', '友善', '耐心', '知識', '專業能力', '社會', '大眾', '主要', '保存', '接觸', '圖書館', '傳統', '保管']
No.75:大學生英文課外讀物之閱讀動機、閱讀焦慮與閱讀策略之研究－以輔仁大學為例, ['閱讀', '大學生', '英文', '課外', '閱讀焦慮', '閱讀策略', '讀物', '閱讀動機', '課外閱讀', '焦慮', '學院', '顯著', '舉辦', '學生', '培養', '自我', '策略', '風氣', '習慣', '動機']
No.76:參與閱冠王活動學童之閱讀與圖書館使用行為研究, ['閱冠王', '學童', '閱讀', '看書', '活動', '圖書館使用行為', '深耕', '喜歡', '父母', '兒童', '心得', '書本', '外在', '動機', '參與', '興趣', '原因', '項目', '共同點', '採訪談']
No.77:中文書目著錄法之探討, ['書目著錄', '著錄', '中文', '書目', '有的', '近代', '古代', '發展', '我國', '中國古籍編目', '仿效', '取法', '古代中文書目', '專著', '更替', '流變', '簡略', '著錄法', '繁多', '辨識']
No.78:線上資訊偶遇經驗與個人特徵之研究, ['資訊偶遇', '個體', '線上', '經驗', '個人特徵', '偶遇', '資訊', '產生', '獲得', '情境', '感到', '促進', '自己', 'erdelez', 'sanda', '不安', '公信力', '學識', '實証', '念頭']
No.79:公共圖書館中階主管有效領導因素之探討：以臺北市立圖書館為例, ['領導', '中階主管', '才能', '構面', '北市圖', '分館主任', '因素', '模式', '人際關係', '分館', '有效', '社區', '北市', '文件', '說明', '個人', '運用', '經營', '特質', '培育']
No.80:公共圖書館辦理推廣活動影響因素之研究, ['推廣活動', '影響因素', '動機', '圖書館推廣活動', '辦理動機', '公共圖書館', '社區資源', '保存', '讀者', '經營', '因應', '文化', '劇烈', '公共', '外部', '激勵', '背後', '遺產', '不停', '娛樂']
No.81:客家文化研究生之學業資訊尋求行為：資訊視域之觀點, ['客家', '資訊視域', '研究生', '資訊尋求', '學業', '文化', '不同', '資源', '資訊尋求行為', '來自', '個人', '工作坊', '推薦型', '繪製', '聚焦型', '相關', '書單', '深化', '超過', '邀請']
No.82:台灣地區中文網頁自動辨別日期之研究, ['網頁', '網頁日期', '自動', '欄位', '日期格式', '中文', '實驗', '繁體中文', '誤差', '正確率', '精準', '約為', '抓取', '元資料', '台灣', '亂數', '得宜', '有用', '期時', '精確']
No.83:臺灣光復以來文史哲專題書目控制之研究, ['專題書目', '書目', '文史哲', '書目資料庫', '臺灣', '光復', '書目控制', '文史哲書目', '特種書目', '編纂', '知識', '控制', '體例', '人類', '保存', '發展', '時期', '地區', '出處', '刊行']
No.84:圖書資訊學知識管理文獻之知識交流、來源與擴散, ['知識管理文獻', '知識來源', '知識擴散', '圖書資訊學', '知識交流', '學科', '知識管理', '合著者分析', '引文分析', '擴散', '社會網絡分析', '跨國', '作者', '引用', '概況', '交流', '呈現', '機構', '整體', '新加坡']
No.85:佛教在家眾資訊需求與資訊尋求行為, ['在家眾', '佛教', '佛法', '信奉', '教團', '解決', '接觸', '資訊需求', '修行', '填選', '平時', '道場', '情形', '比率', '資訊尋求行為', '探索', '他們', '電子資源', '途徑', '多數']
No.86:大台北地區大眾運輸資訊資源使用者需求與利用, ['大眾運輸資訊', '使用者', '手冊', '如何', '免費', '多數', '縣市政府', '管道', '哪些', '資源', '現有', '滿意', '偏好', '需求', '網路', '大台北', '播報', '旅行', '站名', '站牌']
No.87:從美國線上徵才廣告探討台灣圖書館人才需求之研究, ['能力', '專業能力', '徵才廣告', '美國', '工作', '專業', '知識', '具有', '人才需求', '核心能力', '效率', '人才', '溝通', '圖書館', '學會', '團隊', '館員', '圖書資訊', '技能', '內涵']
No.88:美食Blog使用者之資訊分享行為, ['美食', '部落客', 'blog', '分享', '用餐', '資訊分享行為', '回應', '人們', '獲益', '食物', '發表', '生活', '訊息', '朋友', '資訊分享', '推薦', '讀者', '記錄', '內容分析', '表達']
No.89:我國大學圖書館隱私權政策之探討, ['隱私權政策', '隱私', '大學圖書館', '我國', '制定', '隱私權', '隱私權問題', '採取', '圖書館', '館長', '使用者', '保障', '意識', '要項', '制訂', '做法', '處理', '動機', '保護', '科技']
No.90:虛擬社群之生涯資訊需求研究, ['生涯資訊', '虛擬社群', '需求', '了解', '產生', '文章', '生涯', '資訊需求', '內容分析法', '建構', '特徵', '文獻', '動機', 'careerplan', 'ptt', '包含有', '失業', '得致', '急迫性', '收涯']
No.91:歷史研究生使用臺灣歷史學門相關數位典藏資源之研究, ['數位典藏', '歷史', '研究生', '系所', '歷史研究生', '歷史研究', '學門', '使用', '資源', '文物', '相關', '證據', '史學研究', '珍貴', '研究資源', '取用', '建置', '史料', '增加', '關鍵字']
No.92:臺北市立圖書館服務品質調查研究, ['服務品質', '涉入', '讀者', '狀態', '調查', '圖書館服務', '服務', '程度', '館員', '成果', '文化', '臺北市立圖書館', '圖書館', '北市圖', '服務品質量表', '策略', '教育', '加強', '品質', '網站']
No.93:輔仁大學應用美術學系學生使用數位化藝術資源之研究, ['藝術', '數位藝術', '創作', '藝術資源', '資訊需求', '設計', '資源', '增設', '藝術設計者', '重視', '數位化', '領域', '作品', '圖像', '科技', '包括', '資訊尋求行為', '索引', '障礙', '面臨']
No.94:金門地區公共圖書館空間與環境需求探討, ['金門', '公共圖書館', '空間', '地區', '環境需求', '空間規劃', '感受', '地方', '需求', '特色', '方面', '戰略', '配合', '公共圖書館使用者', '緩慢', '鄉鎮圖書館', '現代化', '館舍', '環境', '歸納']
No.95:臺灣地區兒童圖書館員專業知能需求研究, ['兒童圖書館員', '專業知能', '兒圖館員', '需求', '兒童', '專業', '服務', '訪談', '地區', '平均', '架構表', '提升', '兒童圖書館', '圖書室', '國內', '深度', '問卷', '台灣', '普查', '態度']
No.96:台灣地區哲學領域學者資訊行為之研究, ['哲學領域學者', '資訊行為', '資訊', '資訊利用', '學者', '資訊尋求', '來源', '從事', '問題', '專書', '相關', '可及性', '專業性', '合宜', '疑難', '電子報', '哲學', '資訊需求', '結構式', '知能']
No.97:臺北市立圖書館志工之教育訓練需求研究, ['志工', '教育訓練', '公共圖書館', '需求', '課程', '運用', '社區', '參與', '臺北市立圖書館', '差異', '英語', '辦理', '民眾', '類型', '資源', '一般', '內容', '實施', '事務性', '圖書館志工']
No.98:大學圖書館之Blog建置研究, ['blog', '圖書館', '建置', '使用者', '開發', '階段', '反應', '推廣', '使用', '互動', '分享', 'movable', 'real', 'rss', 'simple', 'syndication', 'type', '在校生', '推介類', '網誌']
No.99:輔仁大學圖書館數位互動學習教室使用分析—以管理學院學生為例, ['數位互動學習教室', '學習', '師生', '學院', '大學圖書館', '管理', '科技化', '學生', '無線', '小組', '討論', '輔仁', '平台', '大多數', '任務', '互動', '分享', '使用', '傳統', 'google']
No.100:專利文獻、資料庫及軟體之創新指標研究, ['專利指標', '專利', '專利分析軟體', '層級', '專利資料庫', '指標', '軟體', '創新', '應用', '類型', '國內外', '我國', 'oecd', '多元性', '採納', '試用', '相關', '整理', '應用到', '現況']
No.101:從英語教師的資訊需求探討高中圖書館支援教學之研究, ['英語教師', '教學', '支援教學', '高中圖書館', '支援', '英語', '學校圖書館', '圖書館', '高中', '教師', '層次', '圖書館利用', '資訊需求', '尋求', '方面', '使用', '扮演', '專業面', '經營面', '趨近']
No.102:視障音樂工作者的資訊需求與資訊尋求行為, ['視障音樂工作者', '視障者', '尋求', '行為', '資訊需求', '音樂', '資訊尋求行為', '資料', '樂譜', '聽覺', '視障', '觸覺', '點字', '團體', '整合', '工作', '落差', '最後', '資訊', '存在']
No.103:天主教神職人員的工作角色與資訊尋求行為：以天主教輔仁大學為例, ['神職人員', '天主教', '因素', '角色', '資訊尋求行為', '資訊', '工作', '資訊使用', '資訊需求', '過程', '解決', '輔仁大學', '促發', '宗教圖書館', '資料', '詮釋', '歸納', '找尋', '編碼', '花費']
No.104:台灣鄉鎮市區圖書館行銷現況與館員行銷態度調查, ['鄉鎮市區圖書館', '行銷', '態度', '圖書館行銷', '館員', '活動', '辦理', '最多', '從事', '圖書館員態度', '存有', '藉重', '實有', '現況', '多半', '固定', '往後', '編列', '舉足輕重', '偏低']
